iter	Passed	Remaining
0	152	152834
1	155	77690
2	158	52659
3	161	40222
4	163	32620
5	166	27548
6	168	23961
7	171	21294
8	174	19206
9	177	17531
10	179	16098
11	180	14869
12	184	14021
13	186	13142
14	188	12392
15	190	11708
16	192	11104
17	194	10618
18	196	10142
19	198	9708
20	199	9305
21	203	9038
22	206	8750
23	208	8469
24	210	8207
25	213	7979
26	215	7749
27	218	7575
28	219	7356
29	221	7156
30	225	7063
31	228	6917
32	230	6760
33	233	6622
34	234	6474
35	237	6372
36	240	6258
37	243	6159
38	245	6040
39	247	5938
40	248	5823
41	250	5711
42	252	5613
43	254	5534
44	257	5463
45	259	5379
46	262	5320
47	264	5243
48	266	5178
49	271	5153
50	273	5087
51	275	5020
52	278	4976
53	280	4911
54	282	4853
55	285	4809
56	288	4764
57	291	4731
58	296	4733
59	299	4692
60	301	4639
61	303	4584
62	304	4528
63	305	4473
64	307	4419
65	308	4368
66	311	4333
67	312	4287
68	314	4240
69	316	4205
70	319	4176
71	320	4132
72	322	4090
73	323	4050
74	325	4010
75	327	3975
76	329	3947
77	332	3926
78	335	3905
79	337	3877
80	340	3860
81	342	3832
82	343	3793
83	345	3765
84	348	3753
85	351	3735
86	357	3746
87	359	3728
88	363	3723
89	367	3714
90	370	3699
91	378	3734
92	397	3880
93	399	3855
94	412	3931
95	414	3904
96	422	3935
97	427	3936
98	431	3923
99	433	3903
100	436	3884
101	438	3856
102	442	3849
103	444	3830
104	447	3810
105	450	3801
106	453	3784
107	457	3775
108	462	3778
109	465	3766
110	472	3780
111	480	3807
112	484	3804
113	489	3806
114	495	3811
115	499	3806
116	502	3790
117	507	3793
118	510	3780
119	514	3773
120	516	3754
121	518	3728
122	520	3709
123	527	3724
124	531	3717
125	537	3727
126	544	3740
127	546	3723
128	547	3699
129	549	3679
130	560	3719
131	562	3701
132	566	3691
133	569	3678
134	570	3657
135	573	3641
136	575	3622
137	576	3600
138	577	3580
139	579	3560
140	583	3554
141	584	3533
142	588	3524
143	589	3507
144	591	3488
145	593	3471
146	595	3454
147	597	3441
148	599	3423
149	602	3414
150	604	3397
151	605	3380
152	607	3362
153	608	3344
154	610	3329
155	613	3317
156	614	3301
157	617	3291
158	619	3276
159	621	3261
160	622	3243
161	623	3227
162	626	3215
163	628	3203
164	630	3189
165	632	3178
166	634	3163
167	636	3150
168	637	3136
169	639	3123
170	642	3113
171	644	3102
172	647	3093
173	649	3081
174	650	3067
175	652	3053
176	653	3040
177	656	3029
178	657	3017
179	659	3003
180	661	2993
181	663	2980
182	664	2967
183	665	2953
184	667	2939
185	668	2925
186	670	2916
187	672	2906
188	674	2893
189	676	2884
190	677	2871
191	679	2858
192	680	2846
193	682	2833
194	683	2821
195	685	2811
196	686	2799
197	688	2787
198	689	2776
199	691	2767
200	693	2755
201	694	2744
202	695	2732
203	697	2721
204	698	2709
205	701	2702
206	702	2691
207	704	2681
208	706	2673
209	707	2663
210	709	2653
211	710	2642
212	712	2631
213	713	2620
214	715	2612
215	716	2602
216	718	2591
217	719	2581
218	721	2574
219	723	2564
220	744	2622
221	746	2614
222	748	2609
223	750	2598
224	753	2594
225	755	2585
226	756	2576
227	757	2566
228	758	2555
229	759	2544
230	761	2536
231	764	2530
232	766	2522
233	769	2517
234	770	2508
235	772	2499
236	773	2489
237	774	2479
238	776	2471
239	778	2466
240	780	2458
241	783	2454
242	784	2445
243	786	2436
244	787	2427
245	789	2418
246	791	2412
247	794	2410
248	797	2404
249	799	2397
250	800	2389
251	802	2381
252	804	2374
253	805	2366
254	807	2358
255	808	2350
256	810	2342
257	811	2334
258	812	2325
259	814	2317
260	815	2308
261	816	2300
262	818	2292
263	821	2291
264	823	2283
265	825	2277
266	826	2270
267	827	2261
268	829	2253
269	830	2245
270	831	2237
271	832	2229
272	835	2225
273	837	2219
274	839	2212
275	841	2206
276	842	2199
277	843	2191
278	844	2183
279	846	2176
280	848	2169
281	851	2167
282	852	2159
283	853	2151
284	855	2145
285	856	2138
286	857	2131
287	859	2124
288	860	2116
289	861	2109
290	863	2102
291	865	2098
292	866	2091
293	867	2084
294	869	2078
295	871	2072
296	872	2065
297	873	2058
298	875	2052
299	876	2045
300	879	2041
301	881	2036
302	882	2029
303	883	2022
304	885	2018
305	887	2012
306	888	2005
307	889	1998
308	890	1992
309	892	1985
310	893	1980
311	895	1974
312	896	1968
313	897	1961
314	899	1956
315	900	1949
316	901	1942
317	902	1935
318	904	1931
319	906	1925
320	908	1921
321	910	1916
322	911	1910
323	912	1904
324	914	1899
325	916	1894
326	918	1889
327	919	1884
328	920	1877
329	922	1872
330	925	1869
331	926	1864
332	928	1859
333	930	1854
334	931	1849
335	932	1843
336	934	1837
337	935	1832
338	937	1827
339	940	1824
340	941	1818
341	942	1813
342	944	1809
343	946	1804
344	947	1798
345	948	1793
346	950	1788
347	952	1784
348	954	1780
349	955	1774
350	956	1769
351	959	1765
352	960	1760
353	962	1755
354	963	1749
355	964	1743
356	964	1737
357	966	1733
358	968	1729
359	970	1724
360	971	1720
361	974	1717
362	975	1711
363	976	1706
364	977	1700
365	979	1695
366	980	1691
367	982	1686
368	984	1682
369	985	1677
370	986	1672
371	988	1669
372	989	1663
373	990	1658
374	992	1653
375	993	1648
376	994	1643
377	995	1638
378	997	1634
379	999	1630
380	1000	1626
381	1002	1621
382	1003	1616
383	1004	1611
384	1005	1606
385	1007	1602
386	1008	1597
387	1011	1595
388	1013	1591
389	1015	1588
390	1017	1584
391	1018	1580
392	1020	1576
393	1021	1571
394	1023	1567
395	1026	1565
396	1028	1562
397	1032	1561
398	1034	1558
399	1036	1554
400	1037	1549
401	1038	1544
402	1040	1541
403	1042	1538
404	1045	1536
405	1047	1533
406	1049	1529
407	1051	1525
408	1052	1520
409	1053	1515
410	1055	1512
411	1057	1509
412	1059	1506
413	1062	1503
414	1064	1500
415	1066	1497
416	1068	1493
417	1070	1490
418	1072	1486
419	1074	1483
420	1076	1480
421	1079	1478
422	1081	1475
423	1082	1471
424	1084	1466
425	1086	1463
426	1089	1462
427	1092	1459
428	1094	1456
429	1096	1452
430	1097	1449
431	1099	1445
432	1101	1442
433	1104	1440
434	1108	1439
435	1110	1436
436	1111	1431
437	1112	1427
438	1114	1423
439	1115	1420
440	1118	1418
441	1121	1416
442	1123	1413
443	1125	1409
444	1126	1405
445	1129	1403
446	1131	1400
447	1134	1398
448	1138	1397
449	1139	1393
